"EstablishmentNumber","StartDate","EnterpriseNumber"
"2.190.171.611",04-08-2010,"0859.001.118"
"2.214.363.114",01-12-2012,"0501.557.603"
"2.255.430.043",01-08-2016,"0660.962.750"
"2.373.057.290",15-04-2025,"1022.755.825"
"2.377.470.790",12-10-2025,"0411.104.014"
"2.377.691.912",12-10-2025,"1027.395.591"
"2.378.802.462",12-10-2025,"1028.482.288"
"2.379.093.462",12-10-2025,"1028.669.855"
"2.379.148.890",12-10-2025,"0803.778.325"
"2.379.151.365",12-10-2025,"1028.880.582"
"2.379.284.888",12-10-2025,"1028.997.675"
"2.379.317.651",28-05-2025,"1023.824.607"
"2.379.317.750",02-10-2025,"1028.566.818"
"2.379.317.849",01-10-2025,"1028.468.333"
"2.379.317.948",02-10-2025,"1028.535.045"
"2.379.318.047",01-10-2025,"1027.532.282"
"2.379.318.146",15-09-2025,"0552.627.113"
"2.379.318.245",12-10-2025,"1027.992.439"
"2.379.318.344",01-10-2025,"1027.413.706"
"2.379.318.443",03-10-2025,"1028.656.690"
"2.379.318.542",01-10-2025,"0793.929.063"
"2.379.318.641",09-10-2025,"1028.623.731"
